"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"8181","Skontosatz","ID_KKD_FIBUVP_SKOSATZ","double","20","2","11","Skontosatz","Skontosatz  in der Fibuvorgangsposition"
"8182","Waren Skontobetrag","ID_KKD_FIBUVPW_SKOBETRAG","double","20","2","11","Warenskontobetrag","Skontobetrag in Fremdwährung"
"8183","Forderungsbetrag  in der Fibuvorgangspos","ID_KKD_FIBUVP_FORDBETR","double","20","2","11","FIBUVP_FORDBETR","Forderungsbetrag  in der Fibuvorgangsposition"
"8184","Sollhabenkennz. des Forderungsbetrags","ID_KKD_FIBUVP_FORDBETSH","short","8","0","10","FIBUVP_FORDBETSH","Sollhabenkennzeichen des Forderungsbetrags"
"8185","Verbindlichkeitsbetrag","ID_KKD_FIBUVP_VERBBETR","double","20","2","11","FIBUVP_VERBBETR","Verbindlichkeitsbetrag"
"8186","Sollhaben  des Verbindlichkeitsbetrags","ID_KKD_FIBUVP_VERBBETSH","short","8","0","10","FIBUVP_VERBBETSH","Sollhabenkennzeichen des Verbindlichkeitsbetrags"
"8187","Valutadatum in der Fibuvorgangsposition","ID_KKD_FIBUVP_VALDATUM","DateTime","10","0","12","VALUTADATUM","Valutadatum in der Fibuvorgangsposition"
"8188","Textfolge","ID_KKD_FIBUVP_TEXTFOLGE","short","8","0","10","Textfolge","Textfolge in der Fibuvorgangsposition"
"8189","Auszahlungskennzeichen","ID_KKD_FIBUVP_AUSZKENNZ","int","15","0","10","Auszahlungskennzeich","Auszifferungskennzeichen in der Fibuvorgangsposition"
"8190","Auszahlungsdatum","ID_KKD_FIBUVP_AUSZDATUM","DateTime","10","0","12","Auszahlungsdatum","Auszifferungsdatum in der Fibuvorgangsposition"
"8191","Zinsstatus","ID_KKD_FIBUVP_ZINSSTAT","short","8","0","10","Zinsstatus","Zinsstatus: 0=Nicht zu verzinsen, 1=zu verzinsen, gröÃ¡er 1 bedeutet in Zinsrechnung verwendet"
"8192","Kontokennzeichen","ID_KKD_FIBUVP_KONTKENNZ","short","8","0","10","Kontokennzeichen","Kontokennzeichen in der Fibuvorgangsposition"
"8193","OP Kennzeichen","ID_KKD_FIBUVP_OP_KENNZ","short","8","0","10","OP Kennzeichen","OP Kennzeichen in der Fibuvorgangsposition"
"8194","FIBUVP_BWA_KENNZ","ID_KKD_FIBUVP_BWA_KENNZ","short","8","0","10","FIBUVP_BWA_KENNZ","******** WIRD NICHT VERWENDET"
"8195","Journalstatus","ID_KKD_FIBUVP_JOUSTATUS","short","8","0","10","Journalstatus","Journalstatus  in der Fibuvorgangsposition"
"8196","Datum  in der Fibuvorgangsposition","ID_KKD_FIBUV_DATUM","DateTime","10","0","12","FibuVorgangsdatum","Vorgangsdatum  in der Fibuvorgangsposition"
"8197","Numkreisnummer","ID_KKD_NUMKREISNUMMER","int","15","0","10","Numkreisnummer","Nummernkreisnummer"
"8198","Nummer des Vorgangs in der Fibu","ID_KKD_FIBUV_NUMNUMMER","int","15","0","10","Fibuvorgangsnumnumme","Numerische Nummer des Vorgangs in der Fibu"
"8199","Nummer des Vorgangs in der Fibu","ID_KKD_FIBUV_NUMMER","string","256","0","10","Fibuvorgangsnummer","Nummer des Vorgangs in der Fibu"
"8200","Fremdnummer des Vorgangs in der Fibu","ID_KKD_FIBUV_FREMDNR","string","256","0","10","Fibufremdnummer","Fremdnummer des Vorgangs in der Fibu"
"8201","Filialnummer Filiale","ID_KKD_FILIALNUMMERFIL","int","15","0","10","Filialnummerfiliale","Fililalnummer der Filiale"
"8202","Filialnummer Zentrale","ID_KKD_FILIALNUMMERZEN","int","15","0","10","Filialnummerzentrale","Fililalnummer der Zentrale"
"8203","Währungsnummer","ID_KKD_WAEHRNUMMER","short","8","0","10","Währungsnummer","Währungsnummer"
"8204","Bedienerid des Anlegers","ID_KKD_BEDIENERIDNEU","int","15","0","10","Bedieneridneu","Bedienerid des Anlegers"
"8205","Bedienerid des Belegkorrigierer","ID_KKD_BEDIENERIDKORR","int","15","0","10","Bedieneridkorrektur","Bedienerid des Belegkorrigierer"
"8206","Bedienerid des Buchers","ID_KKD_BEDIENERIDBUCH","int","15","0","10","Bedieneridbuchung","Bedienerid des Buchers"
"8207","Zahlartid","ID_KKD_ZAHLARTID","int","15","0","10","Zahlart","Zahlartid"
"8208","Währungskurs in der Fibuvorgangsposition","ID_KKD_FIBUVPW_KURS","short","8","0","10","FIBUVPW_KURS","Währungskurs in der Fibuvorgangsposition"
"8209","Erfassungsdatum","ID_KKD_FIBUV_ERFDATUM","DateTime","10","0","12","Erfassungsdatum","Erfassungsdatum"
"8210","Buchungsstatus","ID_KKD_FIBUV_BUCHSTAT","short","8","0","10","Buchungsstatus","Buchungsstatus"
